vehicleNumber,chassisNo,engineNumber,ownerName,phoneNumber,vehicleClass,fuelType,makerModel,vehicleColor,seatCapacity,insuranceCompany,ownershipDesc,violations,timestamp,location,officer,challanAmount,longitude,latitude
GA11WX2345,MGOA011OPQR123456,G37W67890XXXXX,Shivani Kunde,8331234567,SUV,PETROL,Jeep Compass,OLIVE GREEN,5,National Insurance,FIRST OWNER,Illegal parking,1681123456,Arambol,Nikhil Parsekar,400,73.7042,15.6845
GA16GH2345,MGOA016JKLM678901,G42B45678XXXXX,Varun Shirodkar,8336789012,Compact SUV,PETROL,Renault Kiger,YELLOW,5,Liberty General Insurance,THIRD OWNER,Reckless driving,1681678901,Mandrem,Pooja Dubashi,800,73.7064,15.6566
GA12YZ6789,MGOA012STUV456789,G38X23456XXXXX,Rohan Navelkar,8332345678,Hatchback,CNG,Hyundai i20,BLUE,5,IFFCO Tokio,SECOND OWNER,Tailgating,1681234567,Morjim,Tanvi Shet,500,73.7388,15.6297
GA17JK6789,MGOA017NOPQ901234,G43C01234XXXXX,Deepika Dessai,8337890123,Sedan,CNG,Tata Tigor,SILVER,5,Universal Sompo,FIRST OWNER,Wrong parking,1681789012,Chapora,Siddesh Kerkar,400,73.7391,15.6025
UP85CD6995,MAKFC6221LJN0XXXXX,W16A57458XXXXX,Rohan Gupta,8720652304,SUV,DIESEL,Mahindra XUV700,BLUE,2,HDFC Ergo,FIRST OWNER,Overspeeding,1151296954,Anjuna,Sanjay Deshmukh,500,73.7437,15.5784
UP85CD6995,MAKFC6221LJN0XXXXX,W16A57458XXXXX,Rohan Gupta,8720652304,SUV,DIESEL,Mahindra XUV700,BLUE,2,HDFC Ergo,FIRST OWNER,Overspeeding,1151296954,Anjuna,Sanjay Deshmukh,500,73.7437,15.5784
UP85CD6995,MAKFC6221LJN0XXXXX,W16A57458XXXXX,Rohan Gupta,8720652304,SUV,DIESEL,Mahindra XUV700,BLUE,2,HDFC Ergo,FIRST OWNER,Overspeeding,1151296954,Anjuna,Sanjay Deshmukh,500,73.7437,15.5784
MH12JK7890,MDEFG90HIJK123456,N21E78904XXXXX,Arya Bose,7364439792,Compact SUV,PETROL,Nissan Magnite,RED,5,Oriental Insurance,FIRST OWNER,Illegal U-turn,1549296966,Vagator,Meera Banerjee,300,73.7448,15.5976
MH12JK7890,MDEFG90HIJK123456,N21E78904XXXXX,Arya Bose,7364439792,Compact SUV,PETROL,Nissan Magnite,RED,5,Oriental Insurance,FIRST OWNER,Illegal U-turn,1549296966,Vagator,Meera Banerjee,300,73.7448,15.5976
MH12JK7890,MDEFG90HIJK123456,N21E78904XXXXX,Arya Bose,7364439792,Compact SUV,PETROL,Nissan Magnite,RED,5,Oriental Insurance,FIRST OWNER,Illegal U-turn,1549296966,Vagator,Meera Banerjee,300,73.7448,15.5976
UP59CD4918,MAKFC1530LJN0XXXXX,W16A55514XXXXX,Advika Mehta,8254534294,SUV,CNG,Tata Harrier,BLACK,4,TATA AIG,FOURTH OWNER,Underage driving,987404067,Calangute,Deepa Singh,700,73.7545,15.5431
UP59CD4918,MAKFC1530LJN0XXXXX,W16A55514XXXXX,Advika Mehta,8254534294,SUV,CNG,Tata Harrier,BLACK,4,TATA AIG,FOURTH OWNER,Underage driving,987404067,Calangute,Deepa Singh,700,73.7545,15.5431
UP59CD4918,MAKFC1530LJN0XXXXX,W16A55514XXXXX,Advika Mehta,8254534294,SUV,CNG,Tata Harrier,BLACK,4,TATA AIG,FOURTH OWNER,Underage driving,987404067,Calangute,Deepa Singh,700,73.7545,15.5431
UP65CD5318,MAKFC2361LJN0XXXXX,X16A56706XXXXX,Riya Menon,7404724207,Three Wheeler,ELECTRIC,TVS King Deluxe,BLUE,3,TATA AIG,SECOND OWNER,Reckless driving,1101880060,Baga,Rajesh Kumar,1000,73.7548,15.5656
UP65CD5318,MAKFC2361LJN0XXXXX,X16A56706XXXXX,Riya Menon,7404724207,Three Wheeler,ELECTRIC,TVS King Deluxe,BLUE,3,TATA AIG,SECOND OWNER,Reckless driving,1101880060,Baga,Rajesh Kumar,1000,73.7548,15.5656
UP65CD5318,MAKFC2361LJN0XXXXX,X16A56706XXXXX,Riya Menon,7404724207,Three Wheeler,ELECTRIC,TVS King Deluxe,BLUE,3,TATA AIG,SECOND OWNER,Reckless driving,1101880060,Baga,Rajesh Kumar,1000,73.7548,15.5656
RJ14ST4567,MRSTUV78WXYZ901234,N25J45679XXXXX,Mira Roy,9235315307,Micro SUV,PETROL,Maruti Suzuki S-Presso,ORANGE,5,Future Generali,FIRST OWNER,No driving license,1620203516,Baga,Sneha Mehta,700,73.7556,15.5645
RJ14ST4567,MRSTUV78WXYZ901234,N25J45679XXXXX,Mira Roy,9235315307,Micro SUV,PETROL,Maruti Suzuki S-Presso,ORANGE,5,Future Generali,FIRST OWNER,No driving license,1620203516,Baga,Sneha Mehta,700,73.7556,15.5645
RJ14ST4567,MRSTUV78WXYZ901234,N25J45679XXXXX,Mira Roy,9235315307,Micro SUV,PETROL,Maruti Suzuki S-Presso,ORANGE,5,Future Generali,FIRST OWNER,No driving license,1620203516,Baga,Sneha Mehta,700,73.7556,15.5645
